Check-in;Check-out;Booked;Room;Payment type;Booking amount;Status;booking_id_hash;confirmation_id_hash
2025-01-24;2025-01-27;2024-10-25T05:43:00-07:00;Double or Twin Room;Expedia Collect;297.42;postStay;9f5d30ecfa5cf7a773b4a0f8f26d841301411d1d32122ed640bd1efa1c0ec263;9f5d30ecfa5cf7a773b4a0f8f26d841301411d1d32122ed640bd1efa1c0ec263
2025-01-24;2025-01-27;2024-08-21T07:56:00-07:00;Suite;Expedia Collect;345.38;postStay;31826d0c00c7702124672be32e96b0801a4f874d6d44370b04f9b57f14f23f18;31826d0c00c7702124672be32e96b0801a4f874d6d44370b04f9b57f14f23f18
2025-01-27;2025-01-31;2024-09-22T11:21:00-07:00;Suite;Expedia Collect;621.6;postStay;98a669c830e6d75a1f4e15f55f884deda15234b8147ada44baf403ddf1339186;98a669c830e6d75a1f4e15f55f884deda15234b8147ada44baf403ddf1339186
2025-01-28;2025-01-31;2024-12-23T21:42:00-08:00;Deluxe Suite;Expedia Collect;590.18;postStay;4985d6c4aec580a1953d220e5a0a7307f1966302807b024abf558fb21a363ee8;4985d6c4aec580a1953d220e5a0a7307f1966302807b024abf558fb21a363ee8
2025-01-29;2025-01-30;2024-12-30T13:25:00-08:00;Double or Twin Room;Expedia Collect;112.75;postStay;51384dd26084d0342613406196ee20eeb7bdb7f70995a6a5565da0832296289e;51384dd26084d0342613406196ee20eeb7bdb7f70995a6a5565da0832296289e
2025-01-29;2025-02-01;2024-11-13T21:57:00-08:00;Deluxe Suite;Expedia Collect;0.0;cancelled;77c54394d9ade7f194087bc931d78b26bafa8eaf7198bcfc08af83a414558f59;77c54394d9ade7f194087bc931d78b26bafa8eaf7198bcfc08af83a414558f59
2025-01-29;2025-02-01;2024-11-07T22:42:00-08:00;Suite;Expedia Collect;0.0;cancelled;f16b6f5c660395b8e4f48fc6c3b48d62ff30daf7d8dca8f22b3db38e83a26217;f16b6f5c660395b8e4f48fc6c3b48d62ff30daf7d8dca8f22b3db38e83a26217
2025-01-29;2025-02-01;2024-11-07T22:41:00-08:00;Suite;Expedia Collect;0.0;cancelled;62c59e401cc878bc067cda5228c9ad51991958935e218365affb1577db3d530d;62c59e401cc878bc067cda5228c9ad51991958935e218365affb1577db3d530d
2025-01-29;2025-02-01;2024-09-11T08:17:00-07:00;Suite;Expedia Collect;372.26;postStay;5ae51e5cda4e837ce0a9c9fabdd5df23e8c2fb58ce6d93270050574ce5ef76b1;5ae51e5cda4e837ce0a9c9fabdd5df23e8c2fb58ce6d93270050574ce5ef76b1
2025-01-30;2025-02-03;2024-03-28T09:10:00-07:00;Suite;Expedia Collect;455.08;postStay;a5a23022830bbe96da8795d82f97e18c4ad48cd4fe7d5c0d0f23d4ecbd8b37d3;a5a23022830bbe96da8795d82f97e18c4ad48cd4fe7d5c0d0f23d4ecbd8b37d3
2025-02-01;2025-02-04;2024-11-15T02:06:00-08:00;Deluxe Suite;Expedia Collect;452.88;postStay;c8f0bcbadd85e13679e7f267b7aca1d6ef64c36c967cfadab984e91b82180831;c8f0bcbadd85e13679e7f267b7aca1d6ef64c36c967cfadab984e91b82180831
2025-02-01;2025-02-04;2024-11-15T01:47:00-08:00;Suite;Expedia Collect;0.0;cancelled;64a167cba09fbaa95beecf7439389cdfe7c6b0825bca12dce547af788e95e4e5;64a167cba09fbaa95beecf7439389cdfe7c6b0825bca12dce547af788e95e4e5
2025-02-01;2025-02-03;2024-11-06T21:01:00-08:00;Double or Twin Room;Expedia Collect;0.0;cancelled;cb288734006b7f95dc590fa3eaf929fc05c49df3df62d7335ae2648ea6b3766b;cb288734006b7f95dc590fa3eaf929fc05c49df3df62d7335ae2648ea6b3766b
2025-02-03;2025-02-05;2024-04-02T12:39:00-07:00;Double or Twin Room (Small);Expedia Collect;171.36;postStay;15c91e7ce43d9f015a0bc41160cc03df4d9c78606b1692108b4fe9534b376c9b;15c91e7ce43d9f015a0bc41160cc03df4d9c78606b1692108b4fe9534b376c9b
2025-02-04;2025-02-06;2024-05-22T06:30:00-07:00;Double or Twin Room;Expedia Collect;198.28;postStay;e51ddcf24afcd222e45ccb7ed7d46d79f5ecfa933114db6806c5abb9ea1819c3;e51ddcf24afcd222e45ccb7ed7d46d79f5ecfa933114db6806c5abb9ea1819c3
2025-02-04;2025-02-06;2024-05-22T06:30:00-07:00;Double or Twin Room;Expedia Collect;198.28;postStay;af5628dca5bb465008dcb0bea5946a05a6b82bee232599ca2b922c56c304c5a4;af5628dca5bb465008dcb0bea5946a05a6b82bee232599ca2b922c56c304c5a4
2025-02-06;2025-02-08;2024-04-28T15:37:00-07:00;Suite;Expedia Collect;266.4;postStay;4130efa99e8745c8c5e0f8658fab075d553c5d06997f4787614eb7857a5b3d2a;4130efa99e8745c8c5e0f8658fab075d553c5d06997f4787614eb7857a5b3d2a
2025-02-07;2025-02-10;2024-10-20T11:27:00-07:00;Deluxe Suite;Expedia Collect;503.21;postStay;219472278cb62097701790df757e2fa755e0f3b7720b7ac79076685a453fda34;219472278cb62097701790df757e2fa755e0f3b7720b7ac79076685a453fda34
2025-02-07;2025-02-10;2024-10-20T11:25:00-07:00;Suite;Expedia Collect;429.07;postStay;41500092e4c2a857165d78054b25ca618f7c09fec5d4f82c951513c5c3d3e77d;41500092e4c2a857165d78054b25ca618f7c09fec5d4f82c951513c5c3d3e77d
2025-02-07;2025-02-09;2024-08-07T08:51:00-07:00;Suite;Expedia Collect;234.57;postStay;984a57a0260f6481ecde6754d89c813a46128d99620d488b4f2263e7fcb44a36;984a57a0260f6481ecde6754d89c813a46128d99620d488b4f2263e7fcb44a36
2025-02-07;2025-02-09;2024-08-05T07:48:00-07:00;Suite;Expedia Collect;216.44;postStay;8bde8d7b06900b7002090fdb1778612bdf09f60f8aa296b00fecf432e65ec490;8bde8d7b06900b7002090fdb1778612bdf09f60f8aa296b00fecf432e65ec490
2025-02-07;2025-02-09;2024-03-22T03:10:00-07:00;Double or Twin Room (Small);Expedia Collect;181.44;postStay;ba9e4ba3fac587218a8cc1d2738eb3cbc16b688f4a38bc1c232e836b11bd156a;ba9e4ba3fac587218a8cc1d2738eb3cbc16b688f4a38bc1c232e836b11bd156a
2025-02-11;2025-02-13;2024-06-08T08:45:00-07:00;Suite;Expedia Collect;266.4;postStay;efa9cd55325f2f522101c31b44cd72301a5848ba955658fae6d5357b037e8c94;efa9cd55325f2f522101c31b44cd72301a5848ba955658fae6d5357b037e8c94
2025-02-17;2025-02-21;2024-11-15T17:02:00-08:00;Deluxe Suite;Expedia Collect;639.4;postStay;dd10029cd819ea174ae22f8cff6f938249ff730338d0322cfaf43f8ea4c405da;dd10029cd819ea174ae22f8cff6f938249ff730338d0322cfaf43f8ea4c405da
2025-02-20;2025-02-23;2024-10-30T14:30:00-07:00;Suite;Expedia Collect;388.83;postStay;daf6fcb3747979506ca7aa3d713e679de8a47ab5a495671a8a07e63229d5a324;daf6fcb3747979506ca7aa3d713e679de8a47ab5a495671a8a07e63229d5a324
2025-02-21;2025-02-24;2024-05-20T06:05:00-07:00;Deluxe Suite;Expedia Collect;0.0;cancelled;316257a5ece41cc630cdaac7f2e70506a4c93b2c2ddbd03d7b3fd360fce274ac;316257a5ece41cc630cdaac7f2e70506a4c93b2c2ddbd03d7b3fd360fce274ac
2025-02-22;2025-02-23;2025-01-07T20:09:00-08:00;Suite;Hotel Collect;162.35;postStay;6f61e89f89d70973783e84e76439cf6c5e7dc477b6ac94caafcf5bfc21ce6bf4;6f61e89f89d70973783e84e76439cf6c5e7dc477b6ac94caafcf5bfc21ce6bf4
2025-02-27;2025-03-02;2024-06-07T08:46:00-07:00;Deluxe Suite;Expedia Collect;410.74;postStay;e9b5eaeeb06169596e83529a9f005ef87343ed06d6af05e8537c254bfa0be22a;e9b5eaeeb06169596e83529a9f005ef87343ed06d6af05e8537c254bfa0be22a
2025-03-01;2025-03-02;2025-01-01T07:35:00-08:00;Suite;Expedia Collect;167.97;postStay;cc58aba14e50e1201051d653ed32f3fd118d84c62405f60177ba6d26bfc96493;cc58aba14e50e1201051d653ed32f3fd118d84c62405f60177ba6d26bfc96493
2025-03-02;2025-03-06;2024-11-26T07:21:00-08:00;Suite;Expedia Collect;580.96;postStay;85a5cdd5a5bae8be085f725c3ace352c53fa7316c100898cf505d52543636918;85a5cdd5a5bae8be085f725c3ace352c53fa7316c100898cf505d52543636918
2025-03-02;2025-03-06;2024-11-26T07:08:00-08:00;Deluxe Suite;Expedia Collect;618.24;postStay;a11ded74f8f791eea31d84752a2f94505452a458f47ed70c3f43b447659b33a6;a11ded74f8f791eea31d84752a2f94505452a458f47ed70c3f43b447659b33a6
2025-03-02;2025-03-04;2024-08-18T06:42:00-07:00;Double or Twin Room (Small);Expedia Collect;233.26;cancelled;bbda3873a5da499000782588850f8bbf8c8f4520eec2c3307a233c2ac7f1aa66;bbda3873a5da499000782588850f8bbf8c8f4520eec2c3307a233c2ac7f1aa66
2025-03-03;2025-03-04;2024-11-29T01:27:00-08:00;Double or Twin Room;Expedia Collect;0.0;cancelled;332271daad40fd97b7eff37c7da3333c56fc84fd12454b54f5dca8300a4e3def;332271daad40fd97b7eff37c7da3333c56fc84fd12454b54f5dca8300a4e3def
2025-03-06;2025-03-11;2024-07-25T18:28:00-07:00;Suite;Hotel Collect;824.5;postStay;7d702fd69097ac99877fecc508fbdcd70cdc221c5caa2fb0ae08dcede37306b5;7d702fd69097ac99877fecc508fbdcd70cdc221c5caa2fb0ae08dcede37306b5
2025-03-10;2025-03-12;2024-04-04T23:05:00-07:00;Double or Twin Room;Expedia Collect;0.0;cancelled;4cebf99bbedd3631ff436deb65daa9c55db6b7f63627d0bab91b9ed18ac9558a;4cebf99bbedd3631ff436deb65daa9c55db6b7f63627d0bab91b9ed18ac9558a
2025-03-11;2025-03-14;2024-09-19T19:18:00-07:00;Suite;Expedia Collect;0.0;cancelled;1528b922ad78b4343c31b2632f99183ebd54eb826af0b3536d38ba35c09f917b;1528b922ad78b4343c31b2632f99183ebd54eb826af0b3536d38ba35c09f917b
2025-03-14;2025-03-17;2024-10-22T13:51:00-07:00;Deluxe Suite;Expedia Collect;524.88;postStay;e3ba31c5c8f89f3886546ed3d53a432986602bb2eacad0b4e772e6d07cc66360;e3ba31c5c8f89f3886546ed3d53a432986602bb2eacad0b4e772e6d07cc66360
2025-03-17;2025-03-19;2024-12-16T14:20:00-08:00;Deluxe Suite;Expedia Collect;398.51;cancelled;ec27c9c32a9fd4a5be1c7688fb1cde59e866d048d5fd3cbed4cdbf66164bf51c;1b617a5db8e783f7c28ee3b115e8abe017908e6e2aeb17b6175e19c87619f482
2025-03-19;2025-03-22;2024-09-19T22:16:00-07:00;Suite;Hotel Collect;527.0;postStay;98f621b687aded2e125b15873d7606a0dce9ff41fa75e9594750f833a71f6711;98f621b687aded2e125b15873d7606a0dce9ff41fa75e9594750f833a71f6711
2025-03-20;2025-03-29;2024-02-08T07:16:00-08:00;Deluxe Suite;Hotel Collect;0.0;cancelled;da2760d4aa30be882aa6151f2eee23001c26585bd916013ffd5feb0d2804a1cc;da2760d4aa30be882aa6151f2eee23001c26585bd916013ffd5feb0d2804a1cc
2025-03-23;2025-03-25;2025-01-15T18:50:00-08:00;Deluxe Suite;Expedia Collect;357.77;postStay;387becf7301701973cb177a865786b0636dbd6531db93fbe83fe22fa90211a46;387becf7301701973cb177a865786b0636dbd6531db93fbe83fe22fa90211a46
2025-03-23;2025-03-29;2024-05-10T07:27:00-07:00;Deluxe Suite;Hotel Collect;0.0;cancelled;2e34e2120c1a7605010f58f95fa30a77d649531cae827f065936c55f257c9bf0;2e34e2120c1a7605010f58f95fa30a77d649531cae827f065936c55f257c9bf0
2025-03-26;2025-03-28;2024-05-09T13:00:00-07:00;Suite;Hotel Collect;0.0;cancelled;6a35765a3da3868225e5371dd0d3b3e9f49c2160537bed6ee5b0b31a4134b723;6a35765a3da3868225e5371dd0d3b3e9f49c2160537bed6ee5b0b31a4134b723
2025-03-26;2025-03-28;2024-05-09T13:00:00-07:00;Suite;Hotel Collect;0.0;cancelled;00b499f354cd63da1598e0b8b6a5db733685e667f4b31f13b188042d3ad955b7;00b499f354cd63da1598e0b8b6a5db733685e667f4b31f13b188042d3ad955b7
2025-03-27;2025-03-30;2024-05-17T13:02:00-07:00;Suite;Hotel Collect;494.7;postStay;685bd1480098e2f2bfaf5bafe3bf6ce84b8163c68dbdf51ca9dfadb808965672;685bd1480098e2f2bfaf5bafe3bf6ce84b8163c68dbdf51ca9dfadb808965672
2025-03-27;2025-03-30;2024-05-17T13:02:00-07:00;Suite;Hotel Collect;494.7;postStay;ef440e6506dfcac642c8cddde3ffcc61787baebc6725b1304a5814a8b71dffb1;ef440e6506dfcac642c8cddde3ffcc61787baebc6725b1304a5814a8b71dffb1
2025-03-28;2025-03-31;2024-05-14T15:18:00-07:00;Deluxe Suite;Expedia Collect;0.0;cancelled;5ba570e04c234a5553a35ab9498576c16631d1888f694b7a55722ed0c58edb36;0930d909901c4bff055325c0410e9bb304fa9365eb63ccfd0f4dfec65e2ba87a
2025-03-28;2025-03-31;2024-04-29T12:13:00-07:00;Double or Twin Room;Expedia Collect;360.75;postStay;7b3a02946d344cf0f0e29f64ba8b86986d3c0b24ad498e4fd9983c51b648a8f3;7b3a02946d344cf0f0e29f64ba8b86986d3c0b24ad498e4fd9983c51b648a8f3
2025-03-30;2025-04-04;2024-04-01T03:40:00-07:00;Deluxe Suite;Expedia Collect;745.25;postStay;cf368022e52f688539b52f850e4e3f2bc96657409aa44413b4118cacf00d8ad3;cf368022e52f688539b52f850e4e3f2bc96657409aa44413b4118cacf00d8ad3
2025-03-31;2025-04-02;2024-08-10T17:49:00-07:00;Suite;Expedia Collect;310.4;postStay;79bfd5434a9f2d1e9017f4b5a8e5a1c9c36a8754b4817e851a42d6ab3495e113;79bfd5434a9f2d1e9017f4b5a8e5a1c9c36a8754b4817e851a42d6ab3495e113
2025-04-01;2025-04-02;2025-03-29T11:06:00-07:00;Suite;Expedia Collect;134.4;postStay;8bc916df2fb7888dd904e2ecc6ae77759c15a22dfca04d763ab62a535f3fc49f;8bc916df2fb7888dd904e2ecc6ae77759c15a22dfca04d763ab62a535f3fc49f
2025-04-03;2025-04-06;2024-06-25T09:09:00-07:00;Suite;Expedia Collect;395.79;postStay;5639efa10c5578297e792bf5a4a122be6f9619e69fcb1e6ca5c5972a51270384;5639efa10c5578297e792bf5a4a122be6f9619e69fcb1e6ca5c5972a51270384
2025-04-06;2025-04-08;2024-12-02T22:06:00-08:00;Deluxe Suite;Expedia Collect;318.24;postStay;3f70bad526a4ab28589ff84a9beaac51b48acf3555cd83dd1bb002d443470d02;3f70bad526a4ab28589ff84a9beaac51b48acf3555cd83dd1bb002d443470d02
2025-04-06;2025-04-08;2024-12-02T22:06:00-08:00;Deluxe Suite;Expedia Collect;318.24;postStay;72eb7bc48690ad87e566d0357251881597c0e6b6784ff0ee5b66ba33d46ed4b6;72eb7bc48690ad87e566d0357251881597c0e6b6784ff0ee5b66ba33d46ed4b6
2025-04-08;2025-04-11;2024-11-29T15:17:00-08:00;Suite;Expedia Collect;462.68;postStay;4b50ae36b70c38474700b5a317691fd00593c6036befb4d061460afc0d4f975a;4b50ae36b70c38474700b5a317691fd00593c6036befb4d061460afc0d4f975a
2025-04-08;2025-04-09;2024-11-16T14:19:00-08:00;Double or Twin Room;Expedia Collect;136.0;postStay;887d96f1d90d761ca84c4cfe93276fcaffece6fce630225392690cbd0aeb1976;887d96f1d90d761ca84c4cfe93276fcaffece6fce630225392690cbd0aeb1976
2025-04-10;2025-04-13;2024-05-21T14:31:00-07:00;Suite;Hotel Collect;551.69;postStay;94d72ffab2495a0ddbbcf6f0f9af2fb9b88292cffcc02a0be788ed1e3735b553;94d72ffab2495a0ddbbcf6f0f9af2fb9b88292cffcc02a0be788ed1e3735b553
2025-04-14;2025-04-18;2024-11-05T08:23:00-08:00;Suite;Expedia Collect;637.66;postStay;0b754ab4e0e224b7d74e83db90ab2b985c3e29a0cae40f148a044643ba74df12;0b754ab4e0e224b7d74e83db90ab2b985c3e29a0cae40f148a044643ba74df12
2025-04-15;2025-04-17;2024-08-18T13:51:00-07:00;Double or Twin Room;Expedia Collect;361.6;postStay;2abea5b515e1f30cbd1fd0c7ed7ed3601c072d4a0d8231b44220e94d555364e2;2abea5b515e1f30cbd1fd0c7ed7ed3601c072d4a0d8231b44220e94d555364e2
2025-04-18;2025-04-21;2024-07-15T08:06:00-07:00;Suite;Expedia Collect;0.0;cancelled;ff02d2b66f92be8d0790b629794f356e22e1161b9043d41ba79c771ae0a41bc4;ff02d2b66f92be8d0790b629794f356e22e1161b9043d41ba79c771ae0a41bc4
2025-04-20;2025-04-21;2025-01-08T07:25:00-08:00;Deluxe Suite;Hotel Collect;0.0;cancelled;01707597b9e6acea093c6e87892f67755b65fc50007d0abea0e490060d35790e;01707597b9e6acea093c6e87892f67755b65fc50007d0abea0e490060d35790e
2025-04-20;2025-04-24;2024-10-21T18:43:00-07:00;Suite;Expedia Collect;627.64;postStay;cd10364b0905093bd3794bf2d24d33cfccfed69317ebebd836b49e632ed42e30;cd10364b0905093bd3794bf2d24d33cfccfed69317ebebd836b49e632ed42e30
2025-04-22;2025-04-23;2025-03-31T23:42:00-07:00;Double or Twin Room;Expedia Collect;154.22;postStay;dcd427074531f97ff0aa3d566cf8b05640adbeb5667fb90dc3a273f04fbed6d6;dcd427074531f97ff0aa3d566cf8b05640adbeb5667fb90dc3a273f04fbed6d6
2025-04-22;2025-04-23;2024-11-30T00:33:00-08:00;Double or Twin Room;Expedia Collect;178.84;postStay;2b0a6a63abe0fb061756d5d809227b30731188494c676b4f44bc23b99dc3af5f;2b0a6a63abe0fb061756d5d809227b30731188494c676b4f44bc23b99dc3af5f
2025-04-22;2025-04-24;2024-07-10T17:26:00-07:00;Double or Twin Room (Small);Expedia Collect;266.4;postStay;440eb2e9252a781a489721fcd44cd9936a0723e6d8ceb5fcae286aec60a552f9;440eb2e9252a781a489721fcd44cd9936a0723e6d8ceb5fcae286aec60a552f9
2025-04-25;2025-04-27;2025-04-11T06:51:00-07:00;Suite;Expedia Collect;358.98;postStay;32b4687b11cd9c58cf165255e2bd77f012a740bd0df067d390e9caccba17ca70;32b4687b11cd9c58cf165255e2bd77f012a740bd0df067d390e9caccba17ca70
2025-04-25;2025-04-26;2024-11-25T07:50:00-08:00;Double or Twin Room;Expedia Collect;0.0;cancelled;0d3e75709b0e2342e8cf42e1d582dd1aa97ad13d3f1882bdf8786cc0a15e91aa;0d3e75709b0e2342e8cf42e1d582dd1aa97ad13d3f1882bdf8786cc0a15e91aa
2025-04-27;2025-05-01;2024-06-02T18:01:00-07:00;Suite;Expedia Collect;648.0;postStay;8e9a5d3032a00c077496e5f3746e4a61680c23a769254f27e964a62b33378382;1e57e21125473d45ef60fa7e5214f2635adb7664f10c7eb4570d21dade2f9157
2025-04-28;2025-05-01;2024-08-03T12:06:00-07:00;Deluxe Suite;Expedia Collect;561.0;postStay;e663008eb8a0b56fdfdfceb3e73cf7adb15e3b8b73e07327e80cce7772f3b168;e663008eb8a0b56fdfdfceb3e73cf7adb15e3b8b73e07327e80cce7772f3b168
2025-04-29;2025-04-30;2025-04-23T12:14:00-07:00;Deluxe Suite;Expedia Collect;184.04;postStay;7f2bf9b46b9ac908b82ce813fc5ab75449f163d595c72e7985b7e5c77f9a5101;7f2bf9b46b9ac908b82ce813fc5ab75449f163d595c72e7985b7e5c77f9a5101
2025-04-29;2025-05-01;2024-12-09T17:35:00-08:00;Deluxe Suite;Hotel Collect;723.62;postStay;c8b2a501ab85a54486eb7fb931fcaa18de485d23d07a99febc13b1534d4978a1;c8b2a501ab85a54486eb7fb931fcaa18de485d23d07a99febc13b1534d4978a1
2025-04-30;2025-05-03;2024-09-13T04:05:00-07:00;Deluxe Suite;Expedia Collect;533.29;postStay;d69259082356aea4ffed4a8bc75d629913c0fa6a2587f26f7abe4f0675c773bf;d69259082356aea4ffed4a8bc75d629913c0fa6a2587f26f7abe4f0675c773bf
2025-05-02;2025-05-03;2025-03-20T16:52:00-07:00;Suite;Expedia Collect;158.77;postStay;e2094b87b95c010b959977fe5ba16e61c74a40af12e45e9df25ee8379b0fb2db;e2094b87b95c010b959977fe5ba16e61c74a40af12e45e9df25ee8379b0fb2db
2025-05-09;2025-05-13;2024-02-12T08:29:00-08:00;Suite;Expedia Collect;0.0;cancelled;6a30859dd85d907327d5a2f22e1d03a37668b2909a05a93f1e5061aa04ff3f81;6a30859dd85d907327d5a2f22e1d03a37668b2909a05a93f1e5061aa04ff3f81
2025-05-10;2025-05-13;2024-08-04T17:03:00-07:00;Double or Twin Room;Hotel Collect;643.46;postStay;d5dcd0d6f566ffb78b1a2ea9ef063c920a107407a4458edca0f0d86743d6799c;d5dcd0d6f566ffb78b1a2ea9ef063c920a107407a4458edca0f0d86743d6799c
2025-05-13;2025-05-15;2025-05-09T02:08:00-07:00;Suite;Expedia Collect;534.41;postStay;3f80e8aafa0e7eac55927007faef9ea1f1e1fe25769883c512c5c1c47b0b4182;3f80e8aafa0e7eac55927007faef9ea1f1e1fe25769883c512c5c1c47b0b4182
2025-05-13;2025-05-15;2024-06-10T07:03:00-07:00;Double or Twin Room (Small);Expedia Collect;251.6;postStay;875b149dc74d5d5af0ef11c7008d74133660f1d2af0c0d118016556662b633bd;875b149dc74d5d5af0ef11c7008d74133660f1d2af0c0d118016556662b633bd
2025-05-14;2025-05-15;2024-10-30T15:07:00-07:00;Double or Twin Room;Expedia Collect;0.0;cancelled;fc6927d04390bc7121d601acec320c01ae456a97f0cc2c57854c5159965281cd;fc6927d04390bc7121d601acec320c01ae456a97f0cc2c57854c5159965281cd
2025-05-14;2025-05-16;2024-08-15T13:21:00-07:00;Double or Twin Room;Expedia Collect;251.42;postStay;1132a66f06fb96caa95603c9e6832bf1341724100496214196bec4022b25eddc;1132a66f06fb96caa95603c9e6832bf1341724100496214196bec4022b25eddc
2025-05-17;2025-05-20;2024-12-22T14:01:00-08:00;Deluxe Suite;Expedia Collect;0.0;cancelled;98c31f8ff441f9b017986176712ba29e4c917eaca509681570f6dd44b6521587;98c31f8ff441f9b017986176712ba29e4c917eaca509681570f6dd44b6521587
2025-05-17;2025-05-19;2024-08-27T21:52:00-07:00;Deluxe Suite;Expedia Collect;345.37;postStay;690fcfee77fe3cf1baea085bf511083c076687f0471ed24a764ceae1908a6c7b;690fcfee77fe3cf1baea085bf511083c076687f0471ed24a764ceae1908a6c7b
2025-05-21;2025-05-23;2025-04-15T16:06:00-07:00;Deluxe Suite;Expedia Collect;469.78;postStay;d54a41349c51bd94d6f074a5700f87d0c7dc786352f903524166baf131a28a74;d54a41349c51bd94d6f074a5700f87d0c7dc786352f903524166baf131a28a74
2025-05-26;2025-05-29;2024-08-02T13:57:00-07:00;Suite;Hotel Collect;750.0;postStay;d904498ce340032769eba661cd5e402aa71b7583cf3b1d36dd935c0ca976b53d;d904498ce340032769eba661cd5e402aa71b7583cf3b1d36dd935c0ca976b53d
2025-05-27;2025-05-28;2024-12-30T15:47:00-08:00;Double or Twin Room;Expedia Collect;138.04;postStay;de32052d3f4f7a3ccae259f5dd2109d7c425b2c1afabfc205679b3ab8fb998da;de32052d3f4f7a3ccae259f5dd2109d7c425b2c1afabfc205679b3ab8fb998da
