Data do comentário,Nome do hóspede,Número da reserva,Título do comentário,Comentário positivo,Comentário negativo,Pontuação de comentários,Funcionários,Limpeza,Localização,Comodidades,Conforto,Relação preço-qualidade,Resposta do alojamento
26-12-2022,c959af3162393c9d72e5de0a3d3681f742246f8625df4cda9bea482503331f22,c2ad04649cb1b62fb137ea3defceff16c1464fea176ab4803d921e1d1feae6df,belle découverte de la ville ,"la gentillesse du personnel 
propreté 
Petit déj
localisation ","que la réception ferme de bonne heure qui a fait que nous n’avons pas pu les joindre lors de notre arrivée pour prévenir de notre retard 
nous avons dû prendre une chambre d’hôtel au dernier moment ",8,10.0,10.0,10.0,10.0,10.0,10.0,
27-12-2022,5ee4d542b88a2c6d3fc69a78777bd6d26255cdb55d3f3f7e8b73eb358c539518,41b7211da961dec12b7c02c0ab2fad7d72ac84e203655b2bd7fbda3974eb5e8a,perfeita! ,"acomodação limpa, próximo de pontos turísticos, café da manhã sensacional (um dos melhores que já tive), funcionários atenciosos e sempre dispostos a te ajudar; quando voltar em Lisboa ficarei no hotel novamente! ",hotel sensacional! ,10,10.0,10.0,10.0,10.0,10.0,10.0,
27-12-2022,a6b54c20a7b96eeac1a911e6da3124a560fe6dc042ebf270e3676e7095b95652,1e5f2039c8acc7ff2d70d59b033d1d44044c9afed8fc3403f56e7b47c9f1dca6,,,,8,,,,,,,
29-12-2022,8360721f93d2e7e21a8f4201f3515ec089bb2a95148d8a1aca453442c98484ca,0199cd6b3b87b851b8b7bc684b250bc538578eb0698b8bed5008abc0b667447e,,"Fantastic location, wonderful staff and excellent breakfasts. ",Television in room 10 didn't work but it didn't really bother us.,9,10.0,10.0,10.0,7.5,10.0,10.0,
31-12-2022,3417cfdf67c51b20fe0424bc47d5692e8759fb06b36d4828a6ad1c654a9dc367,0d3d51319fcadd67aa9c4a8dd2d27eff89eaf7b97cfa6017a282a76210a30c55,merci à Claudia et son équipe pour leur accueil bienveillant ! nous avons passé un excellent séjour et nous avons été su,"l'accueil du personnel 
l'emplacement 
la surface de la chambre ",l'insonorisation ,9,10.0,10.0,10.0,10.0,10.0,10.0,
01-01-2023,4d08697ada75dc79d8f4a9193efb19d01d3609928411d54155c413d0235ea462,13d54ba9f6e08167d7e53bf6a09d2a71ac672cc6bbba1d03dd6f6bf4acc5047b,Don’t hesitate… Just book it! ,"Omg, just book it! What a find! Beautiful independent operation. Style, flair and integrity in all the design & furnishings. Somebody with a great eye has a hand in what goes on here. Huge, and I mean huge, bedroom… total comfort! Seriously magnificent cooked to order breakfasts, fresh fruit & juices. Just down the street from the food markets & a short stroll to all the sights. While it doesn’t have a bar, a total treasure just on the adjoining street is By the Wine wine/tapas bar. What are you waiting for?… just book it ;-) ","Not a huge gripe, but we were in Room 1, right bedside the front desk. Sadly, conversations (not that there were many) at the desk feel like they’re literally taking place in your room. (mgt: Easily sorted by building an in-room lobby?… there’s plenty of space). ",10,10.0,10.0,10.0,10.0,10.0,10.0,
01-01-2023,be480d3210e56e785947940fedd007ad4eb049b849e5def041dd90595cc220a2,493fb57988ebc0de4e1c4463a1ad6474606472abf39bb15a69e57d8e1dd9a0d7,,It was a small cozy boutique hotel and the staff were extremely helpful. There was an amazing breakfast spread and the hotel was centrally located with easy access to restaurants and public transportation.,,9,10.0,10.0,10.0,10.0,10.0,10.0,
02-01-2023,dea210f058b407db5c1b5ea89b2e42a57221c003dba55e2f1776a75a3254d386,d69082d6d7b4c65b908d645e6292712ec551c024ca4b45a29b4b14de79f62f25,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
03-01-2023,05370c7b1258b44e114a3f0ba60c4af308f3b3dd877635a42ff48e8a357f3d5f,bd6fa9275a848b22196ec1850668b8eb60c6cea5a38b16abee8bd773ecbd5713,Would def stay again. Loved it,Loved the breakfast. Staff was amazing and accommodating even with last minute requests.,Nothing,10,10.0,10.0,10.0,10.0,10.0,10.0,
04-01-2023,3001ab41299e10658ec2ddb70c0da272d9fffb0e809746e019e31912130bf738,e9bd7c7c0a916ecec849a8635aef502590ec8d3a723849582f275e73b94694e3,"Location, accommodation and most importantly people were beyond exceptional.",Breakfast was prepared as per your requested food and drink. Excellent food and exceptional service. Everyone went out of their way to accommodate and make our stay very enjoyable.,,10,10.0,10.0,10.0,10.0,10.0,10.0,
04-01-2023,1f94d8be19e1bcc0d6c6d49c284b69a044b190dfdacefe7ba5e04aef8eea5c0d,d02c4f0c6461a2010eeeda52420b9dba600efed2fedaa9c17b47d5c669afdb6d,,,,9,10.0,10.0,7.5,7.5,10.0,7.5,
05-01-2023,67d5e0ed1603e50e9bc7f5ba6d847c87d1871d3b0d10423dad372edf74c15c16,edc11df8ae15075fee7cdcf253da1267f1d3f5602f9bdf3939985cb2e3b1f6b7,,"There were very nice people in the staff, always prepared to help you with any necessary answers or solutions! Good job :) Thank you for a nice vacation!",,10,10.0,10.0,10.0,10.0,10.0,10.0,
05-01-2023,3cdfbb71d5458beb482b18664285a20b50af6b52ca0f00735b9daaf2fae0d2a7,35ea822336ca9ddbbc48924bd4aa577531b0d786141a5f2a12740ea3f902eb47,,,,8,10.0,7.5,10.0,7.5,10.0,7.5,
05-01-2023,2683d9b5359f8fb2c5dd4588d50d7f027e816a23d6f70c9d081b5c16f6bfcc6d,ac23d7a5198ca36ae61a06a5ac6f820b7cd7b8feb1e4967515f9114615397257,,,,9,10.0,10.0,10.0,10.0,10.0,10.0,
07-01-2023,7cd080480b03124d9963ffef0539472c2df876c75a0228914b03b94bebe58a42,9c0da55a760c5491e95554910ddb46028c9a59cf9433fef5c49ce6c5865ceef9,,,,9,10.0,10.0,10.0,10.0,10.0,10.0,
08-01-2023,0c8a54523c19212fc67a27cf8e3e46bb618bc860b695d0439c7490d0fa7d8d8e,41b65fdae695dc39fe0057fd40ea2c49fedabf8cb065bfcbdac88a940941f003,,,,10,10.0,10.0,10.0,10.0,10.0,7.5,
08-01-2023,fcde2b2edba56bf408601fb721fe9b5c338d10ee429ea04fae5511b68fbf8fb9,2a304f9dc51f2fed93139f3ff5e2e595740c8f60fecbdd25845d08452934a63a,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
09-01-2023,65003c7a186430e894caa11372a179dbdcac2cbf99724dacc1455efe1c2582a9,fc3a68f9d4aa9a553dee003f81fa56ab35513e7bfd482921ba6fe7bb4d2facfd,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
10-01-2023,f7f4821e55a7c0677cf46b99dd9be52547ffe89d1eff598f1ba20af036a98683,94ab727f12f3a55385d927930f9d92d34d515f778b4540c2085b2ad26c31dddb,Recommend,"Nice location, friendly staff, quiet room",,9,10.0,10.0,10.0,10.0,10.0,7.5,
10-01-2023,daa15bbce5cea7d09ae6469e553aeac8ca6b1e825a45f277e964dd72cf4e8732,a7b9b7744617d0ad1433e6ee3babe474dbfae98684308cef735114a5f3047ca5,Hospedagem muito boa! Voltaríamos e com certeza recomendamos. ,o perfume do hotel é maravilhoso,faltou frutas no café da manhã,10,10.0,10.0,10.0,10.0,10.0,10.0,
11-01-2023,6eb4a842dd5f41b9fc7a180d8c262a7440843e32358d5a6fe3dbda393c85915b,0288d4a78ffceb91a0e05200072b21e09a5efe26f26760061cd98a21eb79dddb,Bien si buscas algo muy en el centro,"El personal sin duda, la ubicaciÃ³n y el gusto en la decoraciÃ³n ","Al ser un palacete antiguo, hay mucho ruido y huele un poco a humedad",8,10.0,7.5,10.0,7.5,5.0,5.0,
12-01-2023,934399d3b330e4af39dfbbc3c8f08ccf5c99af9de8bb61f7ec179ebfd6fc78e3,d3f48b17dde1b19611697b335f19035e626473ad2018152eadfd2700f2a700d2,I would definitely stay there again!!,"room was large, bed was very comfortable and the shower was great.  The service was outstanding and the breakfasts were wonderful!!",there was nothing we did not like,10,10.0,10.0,10.0,10.0,10.0,10.0,
13-01-2023,6710f07a77ee8379a7f582a3ff17d87cc71747d71ffc822100eed660d3a944ec,2968f5ca50b8b2e303c861d5ca513799236945f1af36dfe73bdea2e789d4e698,,,,8,10.0,10.0,7.5,7.5,10.0,7.5,
14-01-2023,d6a7304069f99c5a5bfe62f1bf9134fb10e109eb5042210045ac422e90b61e6e,e5ddc8baea1692305e3b1d7e8b4802e1217bde306927b4399c5ae52e4364d540,,"propre, bien situé, service de qualité, très bon petit déjeuner.",,9,10.0,10.0,10.0,10.0,10.0,10.0,
14-01-2023,effd30f08016a2f7b279da280a370fde6510a85a4730a454fe69b8f4ac20213a,909592d6c9fa41710c177940262e00f4a4605f8e7e96e8e9cebe28b93e8e2bea,מושלם!!!!,"מיקום מרכזי, מלון בוטיק מדהים!!!! שילוב של ישן וחדש, שרות של הצוות מעל ומעבר למצופה, קלאודיה בעלת המלון מדהימה ועושה הכל כדי שהשרות יהיה מושלם. ארוחת בוקר מושקעת מאד, שרות בחדר האוכל מעולה, המלון נקי מאד גם בחדרים, בלובי, בחדר האוכל. פשוט מושלם.
המלון ממוקם באזור מרכזי, קרוב מאד לתחנת המטרו, ממול למלון סופר מרקט קטן. 
אין ספק שנחזור.",לא היה משהו כזה,10,10.0,10.0,10.0,10.0,10.0,10.0,
16-01-2023,82669588b7298c086c9e1c3bfa7bb9ce544aac1a0b5d0044e06c7f5d9aa7a18f,d976f92d98312b813efab0deaf3ab478725c3ae28c4f06ea1785e7b8dcb04031,,L'accueil la propreté de la chambre le petit déjeuner ainsi que la proximité du centre.hotel très bien situé ,Peut être améliorer le WiFi. Le problème du ménage. Si vous quittez la chambre après 13h30 la chambre n'est pas faite. En principe à ce niveau il faut un service de chambre sans contrainte. ,10,10.0,10.0,10.0,10.0,0.0,10.0,
17-01-2023,7586bf4da0b4a25e8783ef108cf2270b4447888ba7aedb6050f0436b3c3d0153,1fd6490b8aab21ea878c684e1381ddc2eb5e04eac917849dbcbf6f5feeda9ed0,Great place,"The staff was amazing - I forgot some really important documents after leaving and they held on to it for me for almost a week. Breakfast is very nice, rooms are big and comfortable, really good location",,10,10.0,10.0,10.0,10.0,10.0,10.0,
17-01-2023,9de67495a239801694b569ff21131bd1fbbf2161a9064d12d276c9ac6bbe3d81,a606d9e73fd942b111f8e54ff9f5013bc10da0a45f794707043461b0ff592d9c,,"Superbe accueil ! Chambre tres belle et lit super confortable !  Le petit dej est juste au top ! 
L emplacement est parfait , proche des commerces , restaurant , bar et metro , 

Les personnes a l accueil ont su nous conseiller d excellent restaurant et surtout comment eviter les ""attrape touristes """,,10,10.0,10.0,10.0,10.0,10.0,10.0,
17-01-2023,325d8eea60b3081478a9195a828d9c4c6744756ff4c64180f28d327e7e38e2e0,e3fb7242857ba5a40eeaf6fefc85a78f5b24486f01835671d071b0b0e33a8fe7,,,,9,10.0,10.0,10.0,10.0,7.5,7.5,
21-01-2023,84c0d888491a2dc9cadb7030531ad0f2edc4dd5551200b8f8eae93c854a0513a,26d5253c80e8062ec182742b775cb1f827dc14f687af330d984aba79a563e3fe,top ,"ambiance, personnel de lâhÃ´tel, chambre spacieuse",un peu de bruit le soir ,9,10.0,10.0,10.0,10.0,10.0,10.0,
21-01-2023,253387e8620ee1896c76809782406e139bce35860aaa0d61991965319ba0dc32,dec8bb001c24ebf44d5bbaba03f02b5fc7cca45b53b4d4594db951dfdc339b65,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
22-01-2023,1db8c21d490e4dfcf19f5acec589237939ad19d998d73571987ff2e9c4d1019c,063ef3a825dd8527ab4f9f336c66f4ef1cff150c7b8c2d1de5f43cbcff821e10,,"Petit déjeuner exceptionnel, literie au top et emplacement parfait pour visiter et sortir.",,10,10.0,7.5,10.0,10.0,10.0,10.0,
22-01-2023,a78a4203908a94d91b1a8f6aa65f4d1176d68ba67ced10a32cfb661f40c58b88,43ce8de8936fc2034ad13690db1ae9816ebd20e542c421d5b3194549b38f3882,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
22-01-2023,0031a976c522b162d459f7fdbb4642f0b5ed538aad80048ccaf882fcd641efbe,d83d4968edda62da7ba5f9dfac0bd0f4d4917247f2e07b67bd22f9ce86c93280,,"מיקום מצוין, צוות אדיב ומסביר פנים, ארוחת בוקר מצוינת, עיצוב נעים.",,10,10.0,10.0,10.0,10.0,7.5,10.0,
23-01-2023,022065b96c9ff6266b00e367239a3c0c8e9519d299e121bb94bf3c37f6321db8,e817d69244e2128ca74918d0a0d778c437f663f7ed05c8be8c9cd84c13bece65,Perfeita!,"O quarto é um encanto! localização perfeita! Ótimo café da manhã! Eu não sei se é a dona do Hotel, mas a Sra Claudia é extremamente atenciosa e simpática! adorei!!!!!",Nada!,10,10.0,10.0,10.0,10.0,10.0,10.0,
23-01-2023,010cc460ac3f79d80e94add98526b8f22dbaa30cd70126c3944560008a39cef3,bae30d526c7a207f5ad96ccb1546ea1bea866a02dac90ef9812577e808ffd9aa,,L'emplacement ,Rien,9,10.0,10.0,10.0,7.5,10.0,10.0,
24-01-2023,752e59141235bbdacbd0744fb2ef2e83fbedeb171ca1354a4a61a43469ad9b71,981095bac632203d3d681b4d24a228a29598bf445b195d387807638a733a955b,,"O atendimento da responsável pela pousada é da recepção excelente. Sempre prestativos e atentos aos seus pedidos. O quarto espaçoso e aconchegante. Cama confortável.
Wi fi funciona bem e o café da manhã delicioso. Tudo feito com cuidado.
O hotel é lindo. 
Localização excelente, em uma ladeira, mas viável. Guardam as suas malas após o check out se precisar",,10,10.0,10.0,10.0,10.0,10.0,10.0,
26-01-2023,c579754fc7b2d111d81dfe88976689da76b7828952690200284d451dd768945c,5805a133b799dc030ddeb786e9a50b2302a6a3f818f0367ec83b57dde7c45e9b,"Un hôtel de charme très bien localisé, un personnel accueillant et disponible. enfin un très bon petit déjeuné ","très beau décor
personnel accueillant et disponible 
emplacement super ","décoration 
personnel 
emplacement ",10,10.0,10.0,10.0,10.0,10.0,10.0,
26-01-2023,b41e9c25576283b4dab2e47958d21b49de505a85eaf27f52ce7c56ba090be6d9,3e6251affbe94639485b51a5881d3e9ae50dd2c55407ce65c5e806ff18a14311,,"looked nice, good service, great breakfast (also gl free options!)",,8,10.0,10.0,7.5,10.0,10.0,7.5,
28-01-2023,0ec3a5c3a2226141d76557641569a5f01cefeb56a0be9dd2b5bd5ecc8b7194b7,b2b087f588798b7ed5a3fe95f773c1e7e32351f1e5663b8e3450e333a7897443,,,,9,10.0,10.0,10.0,10.0,10.0,10.0,
29-01-2023,7b75b9527be48da455a17f335491576dff504194aef17cc7b011dd0368b1da2e,19cf2a06b4ccd90f07af5cbdeaa74d9fa383e2e7b0e8d0dcf2420f5f78202bd9,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
29-01-2023,61bffea9215f65164ad18b45aff1436c0c165d0d5dd2087ef61b4232ba6d2c1a,f242b68a49d82211caa22f4d620f639131c1513fe628aa75a9906871c1ebb824,.,great quality great location ,nothing ,10,10.0,10.0,10.0,10.0,10.0,10.0,
30-01-2023,,,Ritorno a Lisbona ,"La cura del cliente da parte del personale, la pulizia della struttura, la centralità e la colazione del mattino.",Niente da segnalare,9,10.0,10.0,10.0,7.5,10.0,7.5,
03-02-2023,e85f6b78597ef3b66102610dc4f58094186cb6cd83cf0a729019b58bf660f18a,724c22d840c011e6355414ba4d23947ea418f591e32954d5f7be5e585641781a,Got unlucky with the room but hotel has a great location.,Great location and breakfast.,"Our only window(door) (with acsces to sunlight) was directly on the street. You could not even open a window to get some fresh air in the room because you wold be right on a sidewalk with the people passing by. At any moment people walking by could see you, no privacy at all. Very noisy, no privacy, right on the street. We tried to talk to the hotel staff and there was no interest from their side to fix the problem or compensation for the room. The staff was not the most friendly and did not try to help. ",6,5.0,7.5,10.0,5.0,7.5,7.5,
03-02-2023,9aeac9118a0653ad29dd9ff505f2cc3c12715512bbadefec0bc2f5cb8607d236,1a9daccce449cc432ab7ffcc85000e695a70625a42b6693890f83fb6cd94a302,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
04-02-2023,65dee7708ba413165fc2eaba3e991443d013f397b29e2c8acdced248c442e0ca,e664d977efd9432f44c68cef4eee57a42997f21611d7f947669202987a066050,meraviglioso e rilassante!,"tutto! staff estremamente gentile e ospitale, posizione centrale e strategica, colazione ottima con macedonie fresche e buonissime. lo consiglio vivamente.",nulla!,10,10.0,10.0,10.0,10.0,10.0,10.0,
04-02-2023,fe7a26f92564ccf64a7ff908765b7d819ee4f0bd0e3f7d7bd9c27b20ff776fb3,d26af383e921e0ee726c0e680682a255566cc525c0798423abde2b2f69a82502,,Zentrale Lage in der Stadt fÃ¼r AusflÃ¼ge zu Fuss,,8,10.0,10.0,10.0,7.5,7.5,10.0,
04-02-2023,483815b0404ea5a8c78bf06cfe916edc56022eb23426d35ab6ebefb927438123,aa8c8a102ad38ddb9a9a650dda94acddc29a3537bb9d7d01281b2786ddc810d1,,"Conforto, quarto amplo, bem localizado, bom atendimento.",Falta de pessoal a noite.,8,10.0,10.0,10.0,7.5,10.0,10.0,
04-02-2023,1d8c44678104850b9d825100f8ad4c29563d8a2df234ad253fcf174cbca9073e,54a581be75e1d478ffc10f128321a3f0b55e29bd35fc194c5e7dd302915a6f0a,Brilliantly located boutique hotel with very friendly staff and pet friendly. ,They are pet friendly and were very welcoming to our dog Zeus. The location is great - very central for seeing the sights of Lisbon. Our room was very spacious and clean. Breakfast was excellent.  ,Nothing! ,10,10.0,10.0,10.0,10.0,10.0,10.0,
05-02-2023,bab04eac244f5bfb36e8346d413fbf4fcba307d5eea8d628d8cf648d818b0891,376c0b53b6bbd70c86cc3bc0a63a8c1dd5439265421efe0778efc0b2969c4623,Tudo muito bom,quarto amplo e bem decorado,vc ouve um pouco de barulho da rua no quarto de frente para rua Alecrim,9,10.0,10.0,10.0,7.5,10.0,7.5,
05-02-2023,f00ecd22250706ac58a528eec23d6f60393306dcc7829d8219f21e0a98b11331,f2eda639de83cff895189a73762a74c905c152d18734061fd0c6836f9ecf1e70,Au cœur du Chiado mais dans le bruit de la foule,"Hôtel bien situé au cœur du Chiado, mais à l’écart du bruit de la zone piétonne. On aimé la surface généreuse de la chambre, la double douche dans la chambre et le petit déjeuner soigné et bien choisi. L’amabilité et la gentillesse du personnel était un plus. ","La seule fenêtre de la chambre 11 était directement au niveau de la chaussée, ce qui nous a obligé à garder les rideaux fermés de jour comme de nuit. ",8,10.0,7.5,10.0,7.5,10.0,7.5,
05-02-2023,5f39b51ae9a4dacbb8d9538229d726bfb7e1a03633e37d64598c32989a8c1277,143b6135fc8025102ba2a54e28226c164bd0253018acd688e50623f98ed28e3d,,Everything,,10,10.0,10.0,10.0,10.0,10.0,10.0,
05-02-2023,3d28271ec52e3d07fe14f5f16d01f2c09cbcac1949f9904b305136d0edbee12d,7505de1880b5393950a360715063ae08552090f3e91ed7a3ebf9f55d27658c25,,,,9,10.0,10.0,10.0,10.0,10.0,10.0,
06-02-2023,18d13f06f2d53e2a010d4b9dbf5f5d5eb1187925eead7a344b70a46cd33a65d8,7d36728cf6c09637be9b9b2e63d5d6c4e60a2cc51b83167c465c2443a18ddb80,Absolutely a great mini vacation in Lisbon - beware the hills:),"The location was very central and close to many amenities. The staff were very friendly, welcoming and helpful. The room was spacious, tastefully decorated and well equipped. The breakfast was terrific. We had a wonderful stay and would definitely return - we've already recommended the hotel to a number of friends of ours! Be sure to try the restaurant ""By the Wine"" located right behind the hotel - excellent.","Nothing really, just be aware that because the hotel is in a beautiful historic building, the washroom was lovely but rather small.",10,10.0,10.0,10.0,10.0,10.0,10.0,
07-02-2023,a1f10693ddfe02b11d0b37be1c14c0857fdeabd59be32a224fda889400c2e88c,685a0f707035b576fc73faae8f972082085cb6d86b7f88a62f13b6ee6f818e9b,Vi var tre par som kom og rejste på forskellige tidspunkter under vores syv nætter lange ophold. Hotellet sørgede for at,"Autentisk, spændende, meget store værelser, eminent beliggenhed. Der er rigelig, frisktilberedt og varieret morgenmad. ",Lidt i den dyre ende.,10,10.0,10.0,10.0,10.0,10.0,7.5,
07-02-2023,a1f10693ddfe02b11d0b37be1c14c0857fdeabd59be32a224fda889400c2e88c,50671d2e153a5d7452868437541a21398d3e56037a0f53e581d634c0b8579ee8,,,,10,10.0,10.0,10.0,10.0,10.0,7.5,
07-02-2023,a1f10693ddfe02b11d0b37be1c14c0857fdeabd59be32a224fda889400c2e88c,80f8b50ff74d21834c2dd32e73c27105b06737e8f292d2f11d5579befd35d69c,,,,10,10.0,10.0,10.0,10.0,10.0,7.5,
10-02-2023,7e8c729e4e4ecc320cb411c4d1419bf5fbad733212d4e9491b7630aaef0b8b1c,09c383d267de536b557deaabfd8e73a648d11207728506cf18f8f3182d809e4b,"excellent, can’t wait to return ","lovely friendly staff, great breakfast, brilliant location ",nothing ,10,10.0,10.0,10.0,10.0,10.0,10.0,
12-02-2023,b794615a43507d256b0438583ab748a21948e82d92de4a93704de65ce6653047,a58e9041be5cd43564eb67103137896de35d479029db4825cc2683f4c85c7b71,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
13-02-2023,4f5d99533a2ec9905f56ad5de93db90f39af35c4f7f72bd4adcb94d5511ecbb5,cd394b47f26f7ebe5c700c5b91877692e6fde0a8cd67ebab02e5ddf536a1e435,,,,9,10.0,10.0,10.0,10.0,10.0,10.0,
15-02-2023,91ce7d8f81a8cf4a092be6c00065d4e26569fcd68f03857e7eca1295ade48223,be700e53ad13758d48bf199bc5850acc4165c9af339bd61016dd2beb42016cf3,We had overall good staying at the hotel. The location in the heart of Chiado is handy to explore Lisbon and the rooma a,"+ location
+ small dimension
+ room size","- breakfast booking system (not well managed by staff)
- soundproofing of room (you can clear listen all the chat at the reception)",8,7.5,7.5,10.0,7.5,10.0,10.0,
16-02-2023,39d3a2e969b3dec11478d65ecb96ee6066ebd98920c816df9de7d131d9c67d0c,c0b4f2ae8541d6297a073a889560a3eee0067fbddedb41e5dca81a18f6a45132,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
16-02-2023,5c2fade36fcd91477228895d5627510ce65848d46fd4906cd80b5a19d199dce0,8ab4d53c966965ada3bb0af5a98df5878173fa5b10b3e29e4f8a3789c7808f71,endroit agréable avec personnel sympas ,"le personnel, l accueil, endroit sympas ",le bruit….on entends fort le bruit ,8,10.0,7.5,10.0,7.5,10.0,7.5,
17-02-2023,a1c261c4f51e2d821c8d81e61a6bb92e862e6c1ffb8c9b0704564dc88e6fa00e,403c14fa50bdf9627f809c40e3e49d627ec14a135e2ce833ff13de9f259856d9,,,,9,10.0,10.0,10.0,7.5,10.0,10.0,
17-02-2023,f609936146541f54fa1d6d013c2121e96c1be3c2d95d9b6b5ae7753ca390a00b,173e2e10cea37437956634cfc65b692f65529b1878fea7e5aaf2a160877ca8a7,,,,10,10.0,10.0,10.0,10.0,10.0,10.0,
18-02-2023,982fdccd5c9570a9bdeb80dd8b19b7654dc4ee1137cbe1a5e54f2f61bb2dbe37,3b77b43c085b10acd9a728027adf682aa28f4a7fd0ac2f522ae39cc74d79e537,,Превосходный завтрак. Удобная кровать. Очень красивый дизайн номера,Не хватало ложки для обуви и ополаскивателя для волос,9,10.0,10.0,7.5,10.0,10.0,7.5,
